metric,mean,std
accuracy,0.2665,0.006426507605223857
precision,0.2618203388519412,0.007249319052658486
recall,0.26727997558526084,0.006704137843711461
f1,0.26173591477639646,0.0057893473864486615
train_time,738.8713521003723,
inference_time,1744940979.4623466,
,,
dataset_info,,
dataset,CIFAR10,
num_classes,10,
