Fold,Epoch,Train_Loss,Val_Loss,Train_Acc,Val_Acc
1,1,421.330801486969,106.75936555862427,0.385,0.384
1,2,337.05546563863754,114.47444239258766,0.511,0.4055
1,3,283.0022582411766,84.12904340028763,0.59975,0.539
1,4,228.51940196752548,80.07734268903732,0.676875,0.5665
1,5,170.56825789809227,93.06367960572243,0.76475,0.5545
1,6,128.1008416339755,80.32378631830215,0.818375,0.603
1,7,87.26966185122728,96.42758890986443,0.884,0.5775
1,8,63.880084002390504,138.09233927726746,0.911625,0.497
1,9,48.0508775068447,101.33075374364853,0.937375,0.613
1,10,39.047584847547114,136.10270565748215,0.946375,0.54
1,11,32.98895819392055,119.67585337162018,0.956,0.5805
1,12,33.96591656887904,141.18112008273602,0.9525,0.517
1,13,20.995521468576044,129.32284808158875,0.97175,0.596
1,14,24.916461700573564,145.6495406627655,0.9675,0.557
1,15,28.893786509521306,120.07623732089996,0.960625,0.604
1,16,20.098911497276276,144.50050050020218,0.9735,0.5625
1,17,22.595495502930135,119.22277963161469,0.968875,0.605
1,18,17.53929803450592,131.11787351965904,0.97575,0.5855
1,19,14.027392660151236,142.62399432063103,0.98225,0.5845
1,20,24.488525035441853,124.34638619422913,0.968,0.603
2,1,421.01047909259796,94.658293902874,0.382,0.4515
2,2,332.92153441905975,87.51501202583313,0.525125,0.515
2,3,279.2280390262604,95.4712620973587,0.6045,0.4975
2,4,224.14148157835007,86.89093020558357,0.684375,0.521
2,5,175.33867752552032,86.14162695407867,0.751125,0.5465
2,6,123.59616028517485,107.39051395654678,0.8245,0.527
2,7,88.09852945804596,120.78145825862885,0.877625,0.516
2,8,64.14176923781633,112.33559998869896,0.911375,0.5585
2,9,49.244887999258935,107.8329755961895,0.932875,0.578
2,10,42.017454728484154,111.04978531599045,0.941125,0.576
2,11,31.072956300340593,158.47901595383883,0.957875,0.513
2,12,29.488156960345805,121.32584393024445,0.958375,0.575
2,13,27.964000524021685,130.41530027985573,0.963375,0.5825
2,14,23.69001998589374,124.16877627372742,0.969125,0.588
2,15,18.208705655299127,137.51956582069397,0.97675,0.575
2,16,23.45776864606887,126.06527557969093,0.96725,0.6105
2,17,19.350893051363528,165.0256865620613,0.973625,0.5415
2,18,16.846775334328413,125.71834099292755,0.9785,0.6
2,19,21.501501421094872,116.77062791585922,0.971875,0.5935
2,20,14.621333671850152,143.143432199955,0.980125,0.5705
3,1,416.6315121650696,97.0811876654625,0.402,0.4295
3,2,332.6556669473648,109.52768895030022,0.525625,0.4145
3,3,279.1804558634758,89.08609041571617,0.604875,0.522
3,4,225.86932390928268,85.11202049255371,0.683,0.5345
3,5,171.17177641391754,80.47369712591171,0.764375,0.5965
3,6,125.81659978628159,87.26512059569359,0.831125,0.586
3,7,90.43962512537837,94.83364933729172,0.87475,0.569
3,8,59.46589117869735,127.38123744726181,0.91975,0.5095
3,9,52.26501854509115,122.00924426317215,0.926875,0.557
3,10,40.88411432970315,126.25032687187195,0.943625,0.5395
3,11,32.86378947086632,128.72573560476303,0.95525,0.578
3,12,28.944530052598566,123.29489603638649,0.960125,0.593
3,13,26.042351441457868,111.96848657727242,0.964,0.603
3,14,23.916027578758076,119.3643748164177,0.96775,0.61
3,15,26.320060528581962,119.16894495487213,0.963375,0.5875
3,16,20.776073205750436,123.39201438426971,0.97325,0.5855
3,17,16.99616910784971,143.05091273784637,0.97825,0.5695
3,18,20.893539819400758,123.568823158741,0.974375,0.5805
3,19,14.81854649510933,144.72489005327225,0.98025,0.585
3,20,17.24303235230036,168.9242426753044,0.976625,0.5395
4,1,422.2378737926483,109.06347608566284,0.384875,0.4075
4,2,333.61340349912643,88.9237648844719,0.52425,0.507
4,3,274.1436325311661,84.53449466824532,0.614625,0.533
4,4,220.20316296815872,107.06531561911106,0.68975,0.4745
4,5,168.20995599031448,76.7240300476551,0.767875,0.5995
4,6,120.84548522531986,89.7548702955246,0.8295,0.5745
4,7,82.33437944203615,91.52386373281479,0.886375,0.593
4,8,61.54916015267372,107.51205369830132,0.917,0.579
4,9,53.113098504021764,95.9908339381218,0.924,0.6115
4,10,35.37297999300063,106.21504747867584,0.952625,0.609
4,11,30.008475352078676,115.99966758489609,0.9585,0.5835
4,12,29.488371074199677,125.32366130873561,0.96,0.583
4,13,23.495734381023794,166.250182390213,0.96725,0.5085
4,14,28.014731673058122,122.66855701804161,0.962625,0.5795
4,15,18.317263382487,139.87469074130058,0.974125,0.579
4,16,24.920167774660513,129.3463780581951,0.967,0.5975
4,17,20.69498875597492,109.05107001960278,0.9745,0.6365
4,18,11.6286179262097,134.52369141578674,0.983875,0.5965
4,19,24.261674850131385,130.86578711867332,0.9675,0.585
4,20,16.599189181113616,145.30405439436436,0.976875,0.587
5,1,419.64546489715576,90.49335092306137,0.388,0.4655
5,2,337.7342509627342,90.45093667507172,0.51175,0.477
5,3,287.3938378095627,82.35173606872559,0.588875,0.5355
5,4,234.5463982820511,93.04404580593109,0.665,0.5105
5,5,181.1216041445732,81.17025423049927,0.75025,0.574
5,6,138.27895295619965,91.07886162400246,0.804375,0.5645
5,7,97.55626126378775,91.65324199199677,0.865,0.559
5,8,60.17121633514762,114.40498250722885,0.916,0.5305
5,9,52.361180095002055,140.00880667567253,0.92875,0.5145
5,10,46.15373536758125,102.2289412021637,0.937125,0.593
5,11,25.847468881867826,119.12526845932007,0.964625,0.601
5,12,31.182144437450916,105.20981514453888,0.954125,0.5995
5,13,30.58248873008415,119.69882315397263,0.95675,0.5735
5,14,21.56046969257295,124.58177894353867,0.971625,0.595
5,15,16.87313214025926,124.1358442902565,0.9775,0.5845
5,16,22.835767461918294,124.0260303914547,0.96925,0.593
5,17,23.08426852361299,133.5473861694336,0.96925,0.55
5,18,20.66657586256042,120.40590101480484,0.971125,0.596
5,19,12.941480714827776,140.79591831564903,0.9835,0.585
5,20,19.175271491520107,122.3019480407238,0.97425,0.588
